,Company,Title,Location,Date,Image,Describtion,Tags,Requirements
0,EVERESTX Talent Solutions,Data Science Intern,"Michigan, United States",3 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGTMRfPun9XPQ/company-logo_100_100/0/1656373168933?e=2147483647&v=beta&t=ifJAm3Dwms5rnoL8htTTLqgsBiDDK6Gq8Lmf8JIz7Xk,Are you currently looking for an internship this fall or for next year?,['Internship'],[]
1,MarsX Talent Solutions,Data Scientist- Development Program,"New York, United States",3 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQEuAlbL0gSZPw/company-logo_100_100/0/1657249163706?e=2147483647&v=beta&t=EN4VgYvHJQS2Pe8QPCxKRejpor6QRbynEc0AQz2XQd4,"We are a recruitment consultancy firm that helps companies recruit faster and with more convenience. We work with a number of top-tier companies, tech startups, freelance companies, Industry professionals, and subject matter experts for projects, internships, jobs, and freelance work.",['Internship'],['Important: The successful application submission for the above role will be conditional on your profile evaluation by our AI system. We can let you know better once you submit your resume.']
2,Botkeeper,Machine Learning Engineer,"Boston, MA",12 hours ago,https://media-exp1.licdn.com/dms/image/C560BAQEnLBKk5blFoQ/company-logo_100_100/0/1628118260921?e=2147483647&v=beta&t=EWAGkAgcFwEAK3Px61J0lXD7NnnMhH734tqB1aWRnRY,"Botkeeper is an automated bookkeeping solution transforming the accounting industry. Named one of America’s fastest growing companies by both Inc. and the Financial Times in 2021, we’re building a team that isn’t afraid to push the boundaries of what's possible. Together, we work hard, collaborate constantly, lift one another up, and challenge each other without fear. Following our Series C funding led by Grand Oaks Capital, we’re now scaling to achieve the future of bookkeeping!","['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Software Development']",[]
3,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Intern,"Seattle, WA",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",[]
4,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Intern,"Spring, TX",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",[]
5,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Intern,"San Jose, CA",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",[]
6,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,"Spring, TX",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","['San Jose, CA', 'Houston, TX', 'Seattle, WA', 'Bachelor’s/Master’s degree with a focus in computer science, statistics, mathematics, physics, or related field', 'You are fully comfortable working in a hybrid (virtual and face-to-face) environment', 'Strong relationships management skills', 'Proficiency in Deep Learning frameworks and models, GPU acceleration, model optimization, real-time streaming data, distributed computing, and deployment', 'Proficient in Python, R, Java, or similar functional programing languages', 'Preferred GPA of 3.0 or higher', 'The drive to seek out what’s next and to deliver exceptional results', 'A collaborative, solution focused spirit and overall sense of urgency', 'The desire to embrace new ideas and fresh thinking and seek out ideas different than your own', 'Experience as an active leader on campus who strives to make a positive impact on the world', 'Comfort with working in a hybrid (virtual and face-to-face) environment', 'Exceptional communication and presentation skills and the ability to ask smart questions', 'Ranked 19th on Fortune’s 2022 list of 100 Best Companies to Work For', 'Ranked 7th on Newsweek’s list of America’s Most Responsible Companies 2022', 'Named a Best Place to Work for Disability Inclusion for the sixth year in row', 'Named one of the 100 Best Large Workplaces for Millennials in 2021', 'Recognized as one of the Best Companies for Multicultural Women by Seramount']"
7,Emonics LLC,Python Developer,United States,4 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHOzDvHk74CjQ/company-logo_100_100/0/1661361287200?e=2147483647&v=beta&t=ai3e2I1E6I2ncbGa9TjqHTZeniSX5ENSreUdqvylztA,Coordinating with development teams to determine application requirements.,['Contract'],"['Coordinating with development teams to determine application requirements.', 'Writing scalable code using Python programming language.', 'Testing and debugging applications.', 'Developing back-end components.', 'Integrating user-facing elements using server-side logic.', 'Assessing and prioritizing client feature requests.', 'Integrating data storage solutions.', 'Coordinating with front-end developers.', 'Reprogramming existing databases to improve functionality.', 'Developing digital tools to monitor online traffic.']"
8,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,"Seattle, WA",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","['San Jose, CA', 'Houston, TX', 'Seattle, WA', 'Bachelor’s/Master’s degree with a focus in computer science, statistics, mathematics, physics, or related field', 'You are fully comfortable working in a hybrid (virtual and face-to-face) environment', 'Strong relationships management skills', 'Proficiency in Deep Learning frameworks and models, GPU acceleration, model optimization, real-time streaming data, distributed computing, and deployment', 'Proficient in Python, R, Java, or similar functional programing languages', 'Preferred GPA of 3.0 or higher', 'The drive to seek out what’s next and to deliver exceptional results', 'A collaborative, solution focused spirit and overall sense of urgency', 'The desire to embrace new ideas and fresh thinking and seek out ideas different than your own', 'Experience as an active leader on campus who strives to make a positive impact on the world', 'Comfort with working in a hybrid (virtual and face-to-face) environment', 'Exceptional communication and presentation skills and the ability to ask smart questions', 'Ranked 19th on Fortune’s 2022 list of 100 Best Companies to Work For', 'Ranked 7th on Newsweek’s list of America’s Most Responsible Companies 2022', 'Named a Best Place to Work for Disability Inclusion for the sixth year in row', 'Named one of the 100 Best Large Workplaces for Millennials in 2021', 'Recognized as one of the Best Companies for Multicultural Women by Seramount']"
9,Hewlett Packard Enterprise,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,"San Jose, CA",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/0/1593697162881?e=2147483647&v=beta&t=bLx8lFCzP17osJZBITosBcA1cR56kipUiD1bFZ-Vct0,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.","['Not Applicable', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","['San Jose, CA', 'Houston, TX', 'Seattle, WA', 'Bachelor’s/Master’s degree with a focus in computer science, statistics, mathematics, physics, or related field', 'You are fully comfortable working in a hybrid (virtual and face-to-face) environment', 'Strong relationships management skills', 'Proficiency in Deep Learning frameworks and models, GPU acceleration, model optimization, real-time streaming data, distributed computing, and deployment', 'Proficient in Python, R, Java, or similar functional programing languages', 'Preferred GPA of 3.0 or higher', 'The drive to seek out what’s next and to deliver exceptional results', 'A collaborative, solution focused spirit and overall sense of urgency', 'The desire to embrace new ideas and fresh thinking and seek out ideas different than your own', 'Experience as an active leader on campus who strives to make a positive impact on the world', 'Comfort with working in a hybrid (virtual and face-to-face) environment', 'Exceptional communication and presentation skills and the ability to ask smart questions', 'Ranked 19th on Fortune’s 2022 list of 100 Best Companies to Work For', 'Ranked 7th on Newsweek’s list of America’s Most Responsible Companies 2022', 'Named a Best Place to Work for Disability Inclusion for the sixth year in row', 'Named one of the 100 Best Large Workplaces for Millennials in 2021', 'Recognized as one of the Best Companies for Multicultural Women by Seramount']"
10,Botkeeper,Machine Learning Engineer,United States,18 hours ago,https://media-exp1.licdn.com/dms/image/C560BAQEnLBKk5blFoQ/company-logo_100_100/0/1628118260921?e=2147483647&v=beta&t=EWAGkAgcFwEAK3Px61J0lXD7NnnMhH734tqB1aWRnRY,"Botkeeper is an automated bookkeeping solution transforming the accounting industry. Named one of America’s fastest growing companies by both Inc. and the Financial Times in 2021, we’re building a team that isn’t afraid to push the boundaries of what's possible. Together, we work hard, collaborate constantly, lift one another up, and challenge each other without fear. Following our Series C funding led by Grand Oaks Capital, we’re now scaling to achieve the future of bookkeeping!","['Mid-Senior level', 'Full-time', 'Information Technology and Engineering', 'Software Development']",[]
